canonicalClubId,workbookId,displayName,league,templateKey,motifSourceType,primaryMotif,secondaryMotif,compositionKey,sourceUrl,rationale,reviewStatus,assetPath,fieldColorRole,ringColorRole,motifColorRole,ringTreatment
"ita_torino","ita1_torino","都灵","Serie A（20）","CLARET_BLUE","CLUB_RECOGNIZED_SYMBOL","腾跃公牛","Superga山脊短线","BULL_REAR_MOUNTAIN_BASE","https://www.torinofc.it/en/news/21/07/2026/away-shirt-2627-its-all-about-friendship_43805","官网新品说明直接以风格化公牛代表俱乐部；采用前蹄扬起的纵向姿态和低山脊，区别于罗马狼与拉齐奥鹰。","PRODUCT_APPROVED",""
"ita1_cagliari","ita1_cagliari","卡利亚里","Serie A（20）","BLUE_RED","CITY_CULTURE","努拉吉石塔的圆顶剖面","海港月弧","NURAGHE_PORT_MOON","https://sardegnaturismo.it/en/explore/nuraghe-diana","官方区域旅游资料记录海湾沿岸努拉吉遗址；选择石塔与港湾，不复用四摩尔头像、十字或现有盾形。","PRODUCT_APPROVED",""
"ita1_frosinone","ita1_frosinone","弗罗西诺内","Serie A（20）","YELLOW_BLUE","CLUB_NICKNAME","金丝雀的短翼侧飞","拉齐奥山丘折线","CANARY_SHORT_FLIGHT_HILL","https://www.frosinonecalcio.com/wp-content/uploads/2026/02/numero-11-small.pdf","俱乐部官方比赛刊物以canarini称呼球队；采用短翼侧飞而非正面鸟章，并以低山线避免与拉齐奥猛禽混同。","PRODUCT_APPROVED",""
"ita1_genoa","ita1_genoa","热那亚","Serie A（20）","BLUE_RED","CITY_CULTURE","攀升狮鹫侧影","灯塔光束与港口弧线","GRIFFIN_CLIMB_LIGHTHOUSE","https://www.visitgenoa.it/it/il-grifone-genova-un-percorso-iconografico-e-simbologico","城市官方旅游资料说明狮鹫是热那亚最具识别度的历史符号；以攀升的混合兽和灯塔光束区别于鹰、狼和公牛。","PRODUCT_APPROVED",""
"ita1_lecce","ita1_lecce","莱切","Serie A（20）","RED_GOLD","CITY_CULTURE","巴洛克门拱与花饰负形","尖顶钟楼竖线","LECCE_BAROQUE_ARCH","https://visitlecce.eu/it/luogo/piazza-duomo","官方城市资料将杜莫广场的巴洛克建筑和钟楼列为核心景观；用石刻门拱与竖线，不使用母狼、栎树或现实盾章。","PRODUCT_APPROVED",""
"ita1_monza","ita1_monza","蒙扎","Serie A（20）","RED_WHITE","CITY_CULTURE","铁王冠的三段拱顶","伦巴第环形金属铆接","IRON_CROWN_TRIPLE_ARCH","https://www.museoduomomonza.it/en/iron-crown/","以蒙扎大教堂珍藏的历史王冠三段拱顶为城市文化线索；设计为抽象金属拱与铆接环，不临摹王冠实物或俱乐部红盾。","PRODUCT_APPROVED",""
"ita1_parma","ita1_parma","帕尔马","Serie A（20）","YELLOW_BLUE","CITY_CULTURE","八角洗礼堂轮廓","四层开拱节奏","BAPTISTERY_OCTAGON_ARCADE","https://parmawelcome.it/en/place/baptistery/","官方旅游资料明确洗礼堂为八角形、多层开拱；用简化建筑平面与拱层，不复用十字或俱乐部传统盾形。","PRODUCT_APPROVED",""
"ita1_sassuolo","ita1_sassuolo","萨索洛","Serie A（20）","GREEN_YELLOW","CITY_CULTURE","错位陶瓷砖的菱形拼接","窑火半圆","CERAMIC_TILE_KILN","https://www.comune.sassuolo.mo.it/servizi/cultura-e-tempo-libero/approfondimenti/luoghi-della-cultura/galleria-marca-corona","市政府资料把当地陶瓷生产与城市历史相连；用三片错位瓷砖和小窑火，避免绿黑盾与官方字母。","PRODUCT_APPROVED",""
"ita1_udinese","ita1_udinese","乌迪内斯","Serie A（20）","BLACK_WHITE","CITY_CULTURE","城堡山顶与折线屋脊","威尼斯式拱廊","UDINE_CASTLE_PORTICO","https://www.turismofvg.it/museums/castle-museums?LangSetCMS=en","官方区域旅游资料确认乌迪内斯城堡坐落于旧城制高点；采用屋脊、山丘和拱廊，避免斑马、月桂环或现实圆徽。","PRODUCT_APPROVED",""
"ita1_venezia","ita1_venezia","威尼斯","Serie A（20）","ORANGE","CITY_CULTURE","横向贡多拉船身与竖向船首铁饰","下方潟湖双波纹","GONDOLA_HULL_VERTICAL_FERRO_LAGOON","https://www.comune.venezia.it/it/node/16768","采用威尼斯市府公开的贡多拉文化线索与潟湖线条；以高对比横向船身和竖向铁饰构成器物图腾，不使用有翼狮、城市徽章或现有俱乐部圆章。","VISUAL_SAMPLE_APPROVED","public/assets/clubs/crests/ita-venezia.svg","crestSecondary","crestPrimary","crestNeutral","DIRECT_RING"
